m,kc,ti,td,s,cu1,cu2,de,de_err,time,to,rt,,zero pos: 0.369
4,19.200001,2.75,33.599998,3.5,0.72,0.75,0.51,-2.9858,0.65,0.65,0,,
4,19.200001,2.75,33.599998,3.5,0.21,0.33,0.49,-3.0144,1.65,1.65,0,,
4,19.200001,2.75,33.599998,3.5,0.03,0.06,0.49,-3.0093,2.65,2.65,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,0.49,-3.0144,3.65,3.65,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,0.49,-3.0083,4.65,4.65,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,0.53,-2.9654,5.65,5.65,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,0.59,-2.9103,6.65,6.65,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,0.6,-2.896,7.65,7.65,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,0.57,-2.9328,8.65,8.65,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,0.61,-2.893,9.65,9.65,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,0.64,-2.8614,10.65,10.65,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,0.69,-2.8083,11.65,11.65,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,0.75,-2.7522,12.65,12.65,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,0.81,-2.6889,13.65,13.65,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,0.88,-2.6165,14.65,14.65,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,0.96,-2.5431,15.65,15.65,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,1.04,-2.4625,16.65,16.65,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,1.12,-2.3829,17.7,17.7,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,1.19,-2.3053,18.7,18.7,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,1.28,-2.2166,19.7,19.7,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,1.37,-2.1299,20.7,20.7,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,1.47,-2.034,21.7,21.7,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,1.58,-1.9156,22.7,22.7,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,1.7,-1.8044,23.7,23.7,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,1.79,-1.7106,24.7,24.7,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,1.91,-1.5943,25.7,25.7,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,2.02,-1.482,26.7,26.7,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,2.14,-1.3627,27.7,27.7,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,2.27,-1.229,28.7,28.7,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,2.38,-1.1178,29.7,29.7,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,2.5,-0.9974,30.7,30.7,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,2.61,-0.8862,31.7,31.7,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,2.73,-0.7659,32.7,32.7,0,,
4,19.200001,2.75,33.599998,3.5,0.02,0.04,2.87,-0.6292,33.75,33.75,0,,
4,19.200001,2.75,33.599998,3.5,0.03,0.04,3.03,-0.468,34.75,34.75,0,,
4,19.200001,2.75,33.599998,3.5,0.03,0.04,3.21,-0.2945,35.75,35.75,0,,
4,19.200001,2.75,33.599998,3.5,0.09,0.06,3.38,-0.117,36.75,36.75,0,,
4,19.200001,2.75,33.599998,3.5,0.32,0.26,3.53,0.0299,37.75,37.75,0,,
4,19.200001,2.75,33.599998,3.5,0.46,0.41,3.64,0.1442,38.75,38.75,0,,
4,19.200001,2.75,33.599998,3.5,0.64,0.58,3.74,0.2441,39.75,39.75,0,,
4,19.200001,2.75,33.599998,3.5,0.78,0.68,3.83,0.3298,40.75,40.75,0,,
4,19.200001,2.75,33.599998,3.5,0.87,0.78,3.9,0.3951,41.75,41.75,0,,
4,19.200001,2.75,33.599998,3.5,0.95,0.87,3.9,0.4033,42.8,42.8,0,,
4,19.200001,2.75,33.599998,3.5,0.97,0.85,3.9,0.3951,43.8,43.8,0,,
4,19.200001,2.75,33.599998,3.5,0.96,0.82,3.88,0.3808,44.8,44.8,0,,
4,19.200001,2.75,33.599998,3.5,0.96,0.83,3.88,0.3839,45.8,45.8,0,,
4,19.200001,2.75,33.599998,3.5,0.96,0.84,3.89,0.39,46.8,46.8,0,,
4,19.200001,2.75,33.599998,3.5,0.97,0.83,3.89,0.3931,47.8,47.8,0,,
4,19.200001,2.75,33.599998,3.5,0.96,0.84,3.89,0.387,48.8,48.8,0,,
4,19.200001,2.75,33.599998,3.5,0.96,0.83,3.88,0.3849,49.8,49.8,0,,
4,19.200001,2.75,33.599998,3.5,0.96,0.84,3.88,0.3819,50.8,50.8,0,,
4,19.200001,2.75,33.599998,3.5,0.96,0.82,3.88,0.3819,51.8,51.8,0,,
4,19.200001,2.75,33.599998,3.5,0.96,0.82,3.89,0.388,52.8,52.8,0,,
4,19.200001,2.75,33.599998,3.5,0.96,0.81,3.88,0.3839,53.8,53.8,0,,
4,19.200001,2.75,33.599998,3.5,0.96,0.79,3.89,0.3941,54.8,54.8,0,,
4,19.200001,2.75,33.599998,3.5,0.96,0.79,3.89,0.387,55.8,55.8,0,,
4,19.200001,2.75,33.599998,3.5,0.96,0.79,3.89,0.3859,56.8,56.8,0,,
4,19.200001,2.75,33.599998,3.5,0.96,0.8,3.89,0.39,57.8,57.8,0,,
4,19.200001,2.75,33.599998,3.5,0.96,0.8,3.88,0.3819,58.85,58.85,0,,
4,19.200001,2.75,33.599998,3.5,0.95,0.8,3.89,0.3859,59.85,59.85,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.89,3.8859,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.9,3.8951,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.89,3.887,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.89,3.889,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.89,3.8921,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.89,3.889,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.79,3.7911,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.73,3.7299,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.57,3.5717,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.51,3.5054,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.47,3.4677,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.46,3.4615,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.45,3.4513,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.46,3.4564,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.47,3.4748,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.5,3.4972,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.21,3.2126,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.19,3.1932,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.15,3.1463,60.05,60.05,0,,
1,19.200001,2.75,33.599998,0,0.96,0.8,3.1,3.1014,60.05,60.05,0,,
